CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG386607,08/17/2023 12:01:00 AM,041XX S BERKELEY AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,214,4,06,1183778,1877559,41.81920636,-87.601339749,"(41.81920636, -87.601339749)"
JG389233,08/17/2023 10:00:00 PM,043XX W WASHINGTON BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1114,28,05,1147402,1900140,41.881944411,-87.73420392,"(41.881944411, -87.73420392)"
JG406794,09/01/2023 12:30:00 PM,082XX S EXCHANGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,424,7,08B,1197255,1851012,41.746034186,-87.552785975,"(41.746034186, -87.552785975)"
JG386610,08/17/2023 03:00:00 PM,026XX E 97TH ST,0850,THEFT,ATTEMPT THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,431,7,06,1195335,1841146,41.719008611,-87.56014586,"(41.719008611, -87.56014586)"
JG379900,08/12/2023 02:11:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,112,34,06,1176363,1900552,41.882470918,-87.627847625,"(41.882470918, -87.627847625)"
JG386866,08/17/2023 07:52:00 PM,015XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1215,1,06,1165878,1905431,41.896089327,-87.666209218,"(41.896089327, -87.666209218)"
JG386538,08/17/2023 03:12:00 PM,044XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1913,46,06,1168469,1929861,41.963070794,-87.655984213,"(41.963070794, -87.655984213)"
JG409200,09/01/2023 11:00:00 PM,024XX W 70TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,832,17,14,1161138,1858166,41.766488655,-87.684928547,"(41.766488655, -87.684928547)"
JG386655,08/17/2023 02:20:00 PM,002XX W 87TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,634,21,06,1176454,1847227,41.73614018,-87.62911796,"(41.73614018, -87.62911796)"
JG386958,08/17/2023 09:32:00 PM,034XX W 53RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,Y,N,822,14,15,1154183,1869261,41.79707605,-87.710126731,"(41.79707605, -87.710126731)"
JG387505,08/17/2023 04:30:00 PM,003XX N GREEN ST,0810,THEFT,OVER $500,OTHER (SPECIFY),N,N,1214,27,06,1170673,1902415,41.887709569,-87.64868665,"(41.887709569, -87.64868665)"
JG391474,08/17/2023 12:00:00 PM,012XX E 52ND ST,0810,THEFT,OVER $500,STREET,N,N,234,4,06,1185239,1870909,41.800924004,-87.596189555,"(41.800924004, -87.596189555)"
JG386217,08/17/2023 10:00:00 AM,048XX S KEATING AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,ALLEY,N,N,815,22,07,1145508,1872150,41.805172099,-87.741866556,"(41.805172099, -87.741866556)"
JG386343,08/17/2023 11:42:00 AM,036XX S PRAIRIE AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,N,N,212,3,26,1178528,1880945,41.82861893,-87.620495522,"(41.82861893, -87.620495522)"
JG409469,09/01/2023 08:00:00 PM,048XX N LEAVITT ST,0810,THEFT,OVER $500,STREET,N,N,2031,47,06,1160812,1932176,41.96958591,-87.684071716,"(41.96958591, -87.684071716)"
JG386014,08/17/2023 07:00:00 AM,022XX S SACRAMENTO AVE,0810,THEFT,OVER $500,APARTMENT,N,Y,1033,24,06,1156710,1888934,41.851010575,-87.700328308,"(41.851010575, -87.700328308)"
JG387339,08/18/2023 12:00:00 AM,013XX S JEFFERSON ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,124,28,07,1172536,1893962,41.864472974,-87.642095179,"(41.864472974, -87.642095179)"
JG386313,08/17/2023 10:20:00 AM,038XX S DR MARTIN LUTHER KING JR DR,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,212,3,08A,1179485,1879705,41.825194431,-87.617022328,"(41.825194431, -87.617022328)"
JG386358,08/17/2023 12:30:00 PM,0000X W TERMINAL ST,0810,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,N,N,1655,41,06,1104700,1933741,41.974861952,-87.890372151,"(41.974861952, -87.890372151)"
JG386745,08/17/2023 05:42:00 PM,034XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1133,24,08B,1153602,1894845,41.867293336,-87.711578293,"(41.867293336, -87.711578293)"
JG386761,08/17/2023 06:05:00 PM,032XX W ADAMS ST,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,N,N,1124,28,08A,1154752,1898890,41.878370307,-87.707248137,"(41.878370307, -87.707248137)"
JG385904,08/17/2023 02:05:00 AM,014XX S AVERS AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1011,24,08A,1150944,1892834,41.861827331,-87.721388897,"(41.861827331, -87.721388897)"
JG387471,08/17/2023 01:00:00 PM,006XX N ST CLAIR ST,0820,THEFT,$500 AND UNDER,HOSPITAL BUILDING / GROUNDS,N,N,1834,2,06,1177716,1904963,41.894544296,-87.622745318,"(41.894544296, -87.622745318)"
JG386818,08/17/2023 06:20:00 PM,008XX W ADDISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1923,44,14,1170112,1924132,41.947314423,-87.650111457,"(41.947314423, -87.650111457)"
JG386472,08/17/2023 02:30:00 PM,002XX W 111TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,Y,N,522,9,15,1176677,1831332,41.692517109,-87.628777491,"(41.692517109, -87.628777491)"
JG386694,08/17/2023 07:30:00 AM,036XX S WENTWORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,915,3,14,1175541,1880917,41.828609585,-87.631455354,"(41.828609585, -87.631455354)"
JG387877,08/17/2023 05:18:00 PM,054XX N NORTHWEST HWY,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,FACTORY / MANUFACTURING BUILDING,N,Y,1622,45,26,1135336,1935919,41.980348604,-87.777659302,"(41.980348604, -87.777659302)"
JG386039,08/17/2023 08:20:00 AM,053XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,STREET,N,Y,233,20,08A,1182492,1869736,41.797769399,-87.606300002,"(41.797769399, -87.606300002)"
JG387146,08/17/2023 07:00:00 PM,019XX W WINONA ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,2032,40,07,1162792,1934070,41.974741718,-87.676737856,"(41.974741718, -87.676737856)"
JG406162,09/01/2023 12:05:00 AM,037XX W 81ST PL,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,834,18,07,1152920,1850286,41.745030685,-87.715258415,"(41.745030685, -87.715258415)"
JG387368,08/17/2023 11:00:00 PM,019XX W LUNT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,N,N,2424,49,14,1162173,1946514,42.008901459,-87.678664285,"(42.008901459, -87.678664285)"
JG386451,08/17/2023 01:00:00 AM,017XX N MAYFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2531,29,07,1136823,1910877,41.911604188,-87.772792848,"(41.911604188, -87.772792848)"
