CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG406115,08/31/2023 07:00:00 PM,042XX W MARQUETTE RD,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,Y,Y,833,23,04B,1149062,1859830,41.771296232,-87.729149311,"(41.771296232, -87.729149311)"
JG425966,09/15/2023 11:20:00 PM,010XX W 84TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,613,17,08B,1170922,1849120,41.74145726,-87.649330096,"(41.74145726, -87.649330096)"
JG412467,08/31/2023 09:13:00 PM,093XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,634,6,07,1178354,1843057,41.724654303,-87.622283278,"(41.724654303, -87.622283278)"
JG426285,09/15/2023 06:00:00 PM,057XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,232,20,14,1179905,1867002,41.790326702,-87.615870527,"(41.790326702, -87.615870527)"
JH178504,03/07/2024 01:50:00 AM,059XX W FULTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,29,08B,1136554,1901395,41.885589206,-87.774008188,"(41.885589206, -87.774008188)"
JH180271,03/07/2024 10:37:00 PM,130XX S TORRENCE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,N,N,434,10,04A,1195767,1819062,41.658397108,-87.559290413,"(41.658397108, -87.559290413)"
JH180116,03/07/2024 11:00:00 PM,019XX S HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1014,24,14,1150368,1890090,41.85430871,-87.723574849,"(41.85430871, -87.723574849)"
JH183157,03/07/2024 06:05:00 PM,008XX W NEWPORT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,1924,44,14,1169930,1923108,41.944508506,-87.650810408,"(41.944508506, -87.650810408)"
JH179932,03/07/2024 08:23:00 PM,028XX N SHEFFIELD AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1933,44,08A,1169119,1919247,41.933931433,-87.653903758,"(41.933931433, -87.653903758)"
JH183149,03/07/2024 07:00:00 AM,044XX S Evans Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,221,3,11,1181896,1875684,41.814105006,-87.608301602,"(41.814105006, -87.608301602)"
JH186209,03/06/2024 03:30:00 PM,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1833,2,06,1177320,1906851,41.899734047,-87.624142375,"(41.899734047, -87.624142375)"
JH180539,03/07/2024 05:00:00 PM,023XX W ERIE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1221,36,07,1160776,1904284,41.893049197,-87.684979649,"(41.893049197, -87.684979649)"
JH179389,03/07/2024 06:06:00 PM,008XX S INDEPENDENCE BLVD,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1133,24,08A,1151389,1896025,41.870575085,-87.71967163,"(41.870575085, -87.71967163)"
JH184791,03/07/2024 02:56:00 PM,070XX W DIVERSEY AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2511,29,11,1128811,1917824,41.930807556,-87.802068904,"(41.930807556, -87.802068904)"
JH184046,03/07/2024 11:30:00 PM,014XX W TAYLOR ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1231,28,06,1166713,1895679,41.869311235,-87.663422037,"(41.869311235, -87.663422037)"
JH179662,03/07/2024 07:50:00 PM,008XX W 86TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,613,21,07,1172001,1847488,41.736955229,-87.645424498,"(41.736955229, -87.645424498)"
JH179810,03/07/2024 09:00:00 PM,060XX S TALMAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,825,16,07,1159741,1864605,41.784186975,-87.689872518,"(41.784186975, -87.689872518)"
JH184435,03/07/2024 01:20:00 PM,002XX N WESTSHORE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,114,42,14,1179508,1901940,41.886208132,-87.616256697,"(41.886208132, -87.616256697)"
JH179670,03/08/2024 12:00:00 AM,060XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,311,20,08B,1178194,1864918,41.784647012,-87.622207463,"(41.784647012, -87.622207463)"
JH178908,03/07/2024 11:20:00 AM,088XX S DORCHESTER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,412,8,26,1186998,1846588,41.734143453,-87.590509098,"(41.734143453, -87.590509098)"
JH178703,03/07/2024 08:40:00 AM,020XX W LAKE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,1223,27,14,1162672,1901341,41.884933839,-87.678098895,"(41.884933839, -87.678098895)"
JH179333,03/07/2024 08:20:00 AM,002XX N WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,122,42,14,1174694,1901831,41.886018055,-87.633937881,"(41.886018055, -87.633937881)"
JH179268,03/07/2024 04:30:00 PM,014XX E 66TH PL,0460,BATTERY,SIMPLE,RESIDENCE,N,Y,321,5,08B,1186896,1861189,41.774212402,-87.590420873,"(41.774212402, -87.590420873)"
JH179431,03/07/2024 06:14:00 PM,008XX E 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,631,8,08B,1183138,1851471,41.747633492,-87.604498673,"(41.747633492, -87.604498673)"
JH179790,03/07/2024 09:45:00 PM,006XX W IRVING PARK RD,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1925,46,06,1170908,1926796,41.954607083,-87.647107189,"(41.954607083, -87.647107189)"
JH178968,03/07/2024 01:09:00 PM,013XX S HOMAN AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,Y,N,1021,24,18,1153918,1893424,41.863387668,-87.710456054,"(41.863387668, -87.710456054)"
JH186028,02/06/2024 10:00:00 AM,075XX N SEELEY AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,N,N,2424,49,10,1161338,1949995,42.018470887,-87.681638975,"(42.018470887, -87.681638975)"
JH179462,03/07/2024 07:28:00 PM,058XX W GRAND AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,ALLEY,Y,N,2515,36,26,1137218,1913852,41.919760842,-87.771270092,"(41.919760842, -87.771270092)"
JH178469,03/07/2024 12:32:00 AM,053XX W DEMING PL,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,Y,N,2515,31,18,1140254,1916446,41.926823912,-87.760051477,"(41.926823912, -87.760051477)"
JH180321,03/08/2024 12:00:00 AM,003XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1134,28,14,1153773,1898258,41.876655574,-87.71085966,"(41.876655574, -87.71085966)"
JH185992,01/02/2024 09:00:00 AM,010XX W 32ND ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,913,11,11,1169952,1883621,41.836153087,-87.65188219,"(41.836153087, -87.65188219)"
JH179848,03/07/2024 09:00:00 AM,072XX N SHERIDAN RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,SIDEWALK,N,N,2423,49,07,1166227,1948141,42.013279933,-87.663701709,"(42.013279933, -87.663701709)"
JH181797,03/07/2024 05:00:00 PM,011XX W BALMORAL AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,2023,48,07,1167733,1936022,41.979992705,-87.658511781,"(41.979992705, -87.658511781)"
JH181188,03/07/2024 07:00:00 PM,016XX E 50TH PL,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,RESIDENCE,N,N,222,5,07,1188065,1871842,41.803417249,-87.585796054,"(41.803417249, -87.585796054)"
JH179521,03/07/2024 08:22:00 PM,001XX S HALSTED ST,0460,BATTERY,SIMPLE,STREET,N,N,1232,34,08B,1171069,1899658,41.880135498,-87.647313359,"(41.880135498, -87.647313359)"
JG289502,06/05/2023 06:23:00 PM,061XX S MAPLEWOOD AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,Y,825,16,08B,1160422,1863958,41.782397506,-87.687393515,"(41.782397506, -87.687393515)"
JH184148,03/08/2024 12:00:00 AM,057XX N RIDGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2013,48,07,1166115,1938298,41.986272938,-87.664396765,"(41.986272938, -87.664396765)"
JH180698,03/07/2024 11:30:00 PM,016XX E 50TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,222,5,14,1188065,1871842,41.803417249,-87.585796054,"(41.803417249, -87.585796054)"
JH179156,03/07/2024 03:30:00 PM,013XX N PAULINA ST,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,N,N,1433,1,08B,1164814,1909135,41.906276004,-87.670011875,"(41.906276004, -87.670011875)"
JH178543,03/07/2024 03:35:00 AM,065XX S DR MARTIN LUTHER KING JR DR,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,N,Y,312,20,04B,1180043,1861816,41.776092657,-87.615523266,"(41.776092657, -87.615523266)"
JH179349,03/07/2024 04:35:00 PM,058XX S ROCKWELL ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,824,15,07,1160035,1865944,41.787855332,-87.688757791,"(41.787855332, -87.688757791)"
JH163654,02/23/2024 11:50:00 PM,064XX S RICHMOND ST,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,Y,Y,823,15,17,1157822,1861791,41.776504146,-87.696984714,"(41.776504146, -87.696984714)"
JH179430,03/07/2024 06:25:00 PM,008XX N SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1213,27,14,1169765,1906200,41.898115688,-87.651910703,"(41.898115688, -87.651910703)"
JH180185,03/07/2024 09:00:00 AM,028XX W DIVERSEY AVE,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,APARTMENT,N,N,1411,35,11,1156750,1918479,41.932083971,-87.699380327,"(41.932083971, -87.699380327)"
JH178923,03/07/2024 11:59:00 AM,055XX S PRAIRIE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,N,Y,231,20,26,1178988,1868183,41.793588428,-87.619196923,"(41.793588428, -87.619196923)"
JH180611,03/07/2024 10:05:00 AM,0000X E WALTON ST,0890,THEFT,FROM BUILDING,HOTEL / MOTEL,N,N,1833,42,06,1176324,1906920,41.899945921,-87.627798561,"(41.899945921, -87.627798561)"
JH178644,03/07/2024 07:43:00 AM,014XX W NORTH SHORE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,Y,N,2432,49,07,1165597,1944615,42.003618026,-87.66612092,"(42.003618026, -87.66612092)"
JH179391,03/07/2024 05:00:00 AM,011XX S MICHIGAN AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,123,4,05,1177422,1895476,41.868518128,-87.624113021,"(41.868518128, -87.624113021)"
JH179935,03/07/2024 09:00:00 AM,018XX N RICHMOND ST,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,N,N,1421,26,08A,1156525,1912139,41.914691083,-87.700379148,"(41.914691083, -87.700379148)"
JH178881,03/07/2024 11:22:00 AM,031XX W MADISON ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,N,1222,28,08A,1155397,1899849,41.880988964,-87.704854042,"(41.880988964, -87.704854042)"
JH178906,03/07/2024 11:29:00 AM,011XX W JACKSON BLVD,0850,THEFT,ATTEMPT THEFT,SMALL RETAIL STORE,N,Y,1232,34,06,1168933,1898798,41.877822179,-87.655181405,"(41.877822179, -87.655181405)"
JH186116,03/06/2024 01:50:00 PM,043XX W WRIGHTWOOD AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,2524,31,06,1147182,1916929,41.928019382,-87.734581456,"(41.928019382, -87.734581456)"
JH178798,03/07/2024 08:30:00 AM,045XX S RICHMOND ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,922,12,26,1157462,1874390,41.811084846,-87.697963102,"(41.811084846, -87.697963102)"
JH179695,03/07/2024 10:00:00 PM,100XX W BALMORAL AVE,0460,BATTERY,SIMPLE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,N,N,1650,41,08B,1108491,1934242,41.976182125,-87.876421145,"(41.976182125, -87.876421145)"
JH178528,03/07/2024 02:22:00 AM,032XX E 92ND ST,0460,BATTERY,SIMPLE,STREET,N,N,424,10,08B,1199447,1844577,41.728321226,-87.54497021,"(41.728321226, -87.54497021)"
JH178556,03/07/2024 04:02:00 AM,032XX E 91ST ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,424,10,06,1198992,1845231,41.730127277,-87.546615031,"(41.730127277, -87.546615031)"
JH186140,02/02/2024 09:00:00 AM,091XX S LOWE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2223,21,06,1173579,1844171,41.727818175,-87.639741133,"(41.727818175, -87.639741133)"
JH179253,03/07/2024 04:52:00 PM,044XX N SHERIDAN RD,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1914,46,08B,1168802,1929837,41.962997708,-87.654760597,"(41.962997708, -87.654760597)"
JH179117,03/07/2024 02:30:00 PM,030XX W COLUMBUS AVE,1020,ARSON,BY FIRE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,835,18,09,1157547,1852992,41.75236393,-87.698231024,"(41.75236393, -87.698231024)"
JH179402,03/07/2024 06:30:00 PM,002XX W MARQUETTE RD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,Y,722,6,04A,1175574,1860536,41.77268139,-87.631944444,"(41.77268139, -87.631944444)"
JH178624,03/07/2024 05:55:00 AM,029XX N SPRINGFIELD AVE,0810,THEFT,OVER $500,STREET,N,N,2523,31,06,1149878,1919351,41.93461347,-87.724611388,"(41.93461347, -87.724611388)"
JH178685,03/07/2024 07:50:00 AM,061XX S KENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,314,20,08B,1186131,1864473,41.783242077,-87.593121557,"(41.783242077, -87.593121557)"
JH179603,03/07/2024 10:50:00 PM,070XX S CHAPPEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,331,5,08B,1191098,1858604,41.767018321,-87.575100916,"(41.767018321, -87.575100916)"
JH180264,03/07/2024 05:20:00 PM,005XX N LONG AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1523,37,04A,1140236,1902929,41.889732043,-87.760449353,"(41.889732043, -87.760449353)"
JH178558,03/07/2024 01:30:00 AM,041XX N BROADWAY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1915,46,08B,1169383,1927985,41.957903112,-87.652678571,"(41.957903112, -87.652678571)"
JH179813,03/07/2024 07:00:00 PM,064XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,312,20,07,1179561,1862428,41.777783073,-87.617271544,"(41.777783073, -87.617271544)"
JH178701,03/07/2024 02:45:00 AM,054XX S NEWCASTLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,811,23,14,1131642,1867672,41.793134242,-87.792825661,"(41.793134242, -87.792825661)"
JH179859,03/07/2024 09:00:00 PM,019XX N RIDGEWAY AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2535,26,06,1151070,1912601,41.916067577,-87.720408064,"(41.916067577, -87.720408064)"
JH178539,03/07/2024 01:30:00 AM,028XX N HALSTED ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,1933,44,03,1170451,1918898,41.932944691,-87.649018972,"(41.932944691, -87.649018972)"
JH186272,03/05/2024 01:00:00 PM,071XX W DEVON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1611,41,11,1127721,1942227,41.997790509,-87.805522098,"(41.997790509, -87.805522098)"
JH186003,11/14/2023 02:00:00 PM,073XX S LOWE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,732,6,07,1173236,1856158,41.760719639,-87.640644128,"(41.760719639, -87.640644128)"
JH179178,03/07/2024 01:37:00 PM,044XX N KEYSTONE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,1722,39,08A,1148601,1929130,41.961472617,-87.729051036,"(41.961472617, -87.729051036)"
JH179606,03/07/2024 09:30:00 PM,069XX W NORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,Y,2513,29,15,1130130,1909882,41.908991175,-87.797404149,"(41.908991175, -87.797404149)"
JH141029,02/05/2024 01:52:00 PM,025XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,N,N,1414,1,08B,1155258,1916813,41.927542481,-87.704908115,"(41.927542481, -87.704908115)"
JH179136,03/07/2024 03:18:00 PM,071XX S LAFAYETTE AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,731,6,18,1177070,1857769,41.765054827,-87.626543898,"(41.765054827, -87.626543898)"
JH180250,03/07/2024 12:00:00 PM,006XX N MC CLURG CT,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1834,2,11,1179089,1904354,41.892841858,-87.617721411,"(41.892841858, -87.617721411)"
JH178769,03/07/2024 09:46:00 AM,048XX S ELIZABETH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,933,20,08B,1168807,1872716,41.806253504,-87.656398846,"(41.806253504, -87.656398846)"
JH179331,03/07/2024 04:58:00 PM,076XX S PAXTON AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,414,7,06,1192196,1854725,41.756347406,-87.571202343,"(41.756347406, -87.571202343)"
JH179555,03/07/2024 08:57:00 PM,071XX S UNION AVE,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,Y,N,732,6,18,1172983,1857587,41.764646576,-87.641529262,"(41.764646576, -87.641529262)"
JH178928,03/07/2024 12:12:00 PM,014XX S HARDING AVE,2026,NARCOTICS,POSSESS - PCP,SIDEWALK,Y,N,1011,24,18,1150282,1892737,41.861574074,-87.723821536,"(41.861574074, -87.723821536)"
JH186052,02/27/2024 07:33:00 PM,030XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1934,44,06,1170665,1920334,41.936880447,-87.648190373,"(41.936880447, -87.648190373)"
JH178622,03/07/2024 07:12:00 AM,014XX N LEAMINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2533,37,08B,1141772,1909093,41.9066185,-87.754655732,"(41.9066185, -87.754655732)"
JH186169,11/09/2023 08:00:00 AM,113XX S WASHTENAW AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,2212,19,06,1160409,1829362,41.687460782,-87.68839165,"(41.687460782, -87.68839165)"
JH184624,03/08/2024 12:00:00 AM,020XX N WHIPPLE ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1414,1,06,1155577,1913439,41.918277536,-87.703826927,"(41.918277536, -87.703826927)"
JH178723,03/07/2024 09:00:00 AM,033XX W HUTCHINSON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1724,33,14,1153377,1928058,41.958437213,-87.711520325,"(41.958437213, -87.711520325)"
JH179404,03/07/2024 06:14:00 PM,088XX S THROOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2222,21,08B,1169211,1846049,41.733067148,-87.655687712,"(41.733067148, -87.655687712)"
JH179749,03/07/2024 10:00:00 AM,021XX S ALLPORT ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1235,25,07,1168363,1890056,41.85384576,-87.657526977,"(41.85384576, -87.657526977)"
JH186393,03/08/2024 12:00:00 AM,092XX S PARNELL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,2223,9,05,1174258,1843524,41.726027678,-87.63727301,"(41.726027678, -87.63727301)"
JH179594,03/07/2024 10:23:00 PM,029XX S WENTWORTH AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,Y,N,914,11,07,1175433,1885186,41.84032649,-87.631723666,"(41.84032649, -87.631723666)"
JH179657,03/07/2024 06:00:00 PM,007XX N MILWAUKEE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27,07,1169546,1904889,41.89452299,-87.652753263,"(41.89452299, -87.652753263)"
JH179189,03/07/2024 03:53:00 PM,022XX S SAWYER AVE,2022,NARCOTICS,POSSESS - COCAINE,STREET,Y,N,1024,24,18,1155043,1888918,41.851000227,-87.706447014,"(41.851000227, -87.706447014)"
JH179596,03/07/2024 10:22:00 PM,070XX S INDIANA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VACANT LOT / LAND,Y,N,322,6,15,1178814,1858301,41.76647519,-87.620135503,"(41.76647519, -87.620135503)"
JH178576,03/07/2024 05:10:00 AM,016XX W CERMAK RD,0610,BURGLARY,FORCIBLE ENTRY,APPLIANCE STORE,N,N,1034,25,05,1165691,1889473,41.852303242,-87.66735079,"(41.852303242, -87.66735079)"
JH181580,03/07/2024 10:55:00 PM,005XX E 68TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,N,N,321,6,15,1181174,1860052,41.771226087,-87.611431428,"(41.771226087, -87.611431428)"
JH179061,03/07/2024 12:30:00 PM,064XX S KOMENSKY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,813,13,08A,1150477,1861612,41.776158933,-87.723916058,"(41.776158933, -87.723916058)"
JH179004,03/07/2024 12:20:00 PM,008XX N ST LOUIS AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE - YARD (FRONT / BACK),Y,N,1121,27,18,1152892,1905442,41.896386691,-87.71390403,"(41.896386691, -87.71390403)"
JH179487,03/07/2024 07:48:00 PM,052XX N BROADWAY,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,Y,N,2023,48,06,1167370,1934861,41.976814727,-87.659880317,"(41.976814727, -87.659880317)"
JH179150,03/07/2024 03:41:00 PM,039XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,921,12,08B,1160349,1878286,41.821716884,-87.687266311,"(41.821716884, -87.687266311)"
JH184654,01/11/2024 01:00:00 PM,013XX W FULTON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,N,N,1215,27,11,1167599,1901998,41.886632038,-87.659987308,"(41.886632038, -87.659987308)"
JH178525,03/07/2024 02:35:00 AM,057XX S MELVINA AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,811,13,07,1136029,1865931,41.788279811,-87.77677995,"(41.788279811, -87.77677995)"
JH185785,03/06/2024 12:21:00 PM,028XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,133,4,06,1179378,1886082,41.842695834,-87.61721984,"(41.842695834, -87.61721984)"
JH178652,03/07/2024 01:00:00 AM,079XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,624,6,14,1181610,1852544,41.750613302,-87.61006462,"(41.750613302, -87.61006462)"
JH179336,03/07/2024 05:17:00 PM,035XX W 59TH ST,0820,THEFT,$500 AND UNDER,STREET,N,N,822,14,06,1153919,1865268,41.786123922,-87.711200824,"(41.786123922, -87.711200824)"
JH170251,02/28/2024 10:00:00 AM,074XX S EAST END AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SCHOOL - PUBLIC BUILDING,N,N,324,8,04A,1188823,1856085,41.760160698,-87.583520062,"(41.760160698, -87.583520062)"
JH179484,03/07/2024 06:25:00 AM,007XX E 105TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,512,9,08A,1183043,1835491,41.703784699,-87.605341978,"(41.703784699, -87.605341978)"
JH180146,03/07/2024 06:06:00 PM,014XX W NORTH AVE,0810,THEFT,OVER $500,STREET,N,N,1433,27,06,1166741,1910762,41.910699488,-87.662886582,"(41.910699488, -87.662886582)"
JH178762,03/07/2024 09:20:00 AM,044XX N BROADWAY,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,Y,N,1913,46,06,1168469,1929861,41.963070794,-87.655984213,"(41.963070794, -87.655984213)"
JH186075,11/21/2023 09:30:00 PM,067XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,725,16,07,1166831,1860122,41.771736514,-87.66400571,"(41.771736514, -87.66400571)"
JH179312,03/07/2024 05:24:00 PM,003XX W 64TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,HOSPITAL BUILDING / GROUNDS,N,N,722,20,04B,1175044,1862506,41.778099133,-87.633828531,"(41.778099133, -87.633828531)"
JH179546,03/07/2024 05:00:00 PM,056XX S HARLEM AVE,0560,ASSAULT,SIMPLE,STREET,N,N,811,13,08A,1129302,1866397,41.789675452,-87.801435344,"(41.789675452, -87.801435344)"
JH178592,03/07/2024 05:30:00 AM,023XX W MONROE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1223,27,05,1160935,1899486,41.879879772,-87.684528931,"(41.879879772, -87.684528931)"
JH178872,03/07/2024 11:11:00 AM,002XX N LECLAIRE AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,ALLEY,Y,N,1532,28,18,1142336,1901152,41.884817007,-87.752781291,"(41.884817007, -87.752781291)"
JH180390,03/07/2024 12:30:00 PM,018XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1931,32,06,1163748,1915979,41.925078949,-87.673734337,"(41.925078949, -87.673734337)"
JH179063,03/07/2024 02:30:00 PM,030XX W 21ST PL,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1022,24,08A,1156416,1889559,41.852731587,-87.701390474,"(41.852731587, -87.701390474)"
JH179544,03/07/2024 02:25:00 AM,056XX S KILPATRICK AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,N,N,813,13,14,1146073,1866900,41.790754583,-87.739927261,"(41.790754583, -87.739927261)"
JH180111,03/07/2024 07:30:00 PM,050XX W NELSON ST,0460,BATTERY,SIMPLE,STREET,N,N,2521,31,08B,1142246,1919809,41.936015541,-87.752647962,"(41.936015541, -87.752647962)"
