Año,Fecha,Festivo,Día
1990,2 de julio,San Pedro y San Pablo,Lunes
1990,20 de julio,Día de la independencia,Viernes
1990,7 de agosto,Batalla de Boyacá,Martes
1990,20 de agosto,Asunción de la Virgen,Lunes
1990,15 de octubre,Día de la raza,Lunes
1990,5 de noviembre,Todos los Santos,Lunes
1990,12 de noviembre,Independencia de Cartagena,Lunes
1990,8 de diciembre,Inmaculada Concepción,Sábado
1990,25 de diciembre,Navidad,Martes
1991,1 de enero,Año Nuevo,Martes
1991,7 de enero,Epifanía,Lunes
1991,25 de marzo,Día de San José,Lunes
1991,28 de marzo,Jueves Santo,Jueves
1991,29 de marzo,Viernes Santo,Viernes
1991,1 de mayo,Día del trabajo,Miércoles
1991,13 de mayo,Ascensión de Jesús,Lunes
1991,3 de junio,Corpus Christi,Lunes
1991,10 de junio,Sagrado Corazón de Jesús,Lunes
1991,1 de julio,San Pedro y San Pablo,Lunes
1991,20 de julio,Día de la independencia,Sábado
1991,7 de agosto,Batalla de Boyacá,Miércoles
1991,19 de agosto,Asunción de la Virgen,Lunes
1991,14 de octubre,Día de la raza,Lunes
1991,4 de noviembre,Todos los Santos,Lunes
1991,11 de noviembre,Independencia de Cartagena,Lunes
1991,8 de diciembre,Inmaculada Concepción,Domingo
1991,25 de diciembre,Navidad,Miércoles
1992,1 de enero,Año Nuevo,Miércoles
1992,6 de enero,Epifanía,Lunes
1992,23 de marzo,Día de San José,Lunes
1992,16 de abril,Jueves Santo,Jueves
1992,17 de abril,Viernes Santo,Viernes
1992,1 de mayo,Día del trabajo,Viernes
1992,1 de junio,Ascensión de Jesús,Lunes
1992,22 de junio,Corpus Christi,Lunes
1992,29 de junio,Sagrado Corazón de Jesús,Lunes
1992,29 de junio,San Pedro y San Pablo,Lunes
1992,20 de julio,Día de la independencia,Lunes
1992,7 de agosto,Batalla de Boyacá,Viernes
1992,17 de agosto,Asunción de la Virgen,Lunes
1992,12 de octubre,Día de la raza,Lunes
1992,2 de noviembre,Todos los Santos,Lunes
1992,16 de noviembre,Independencia de Cartagena,Lunes
1992,8 de diciembre,Inmaculada Concepción,Martes
1992,25 de diciembre,Navidad,Viernes
1993,1 de enero,Año Nuevo,Viernes
1993,11 de enero,Epifanía,Lunes
1993,22 de marzo,Día de San José,Lunes
1993,8 de abril,Jueves Santo,Jueves
1993,9 de abril,Viernes Santo,Viernes
1993,1 de mayo,Día del trabajo,Sábado
1993,24 de mayo,Ascensión de Jesús,Lunes
1993,14 de junio,Corpus Christi,Lunes
1993,21 de junio,Sagrado Corazón de Jesús,Lunes
1993,5 de julio,San Pedro y San Pablo,Lunes
1993,20 de julio,Día de la independencia,Martes
1993,7 de agosto,Batalla de Boyacá,Sábado
1993,16 de agosto,Asunción de la Virgen,Lunes
1993,18 de octubre,Día de la raza,Lunes
1993,1 de noviembre,Todos los Santos,Lunes
1993,15 de noviembre,Independencia de Cartagena,Lunes
1993,8 de diciembre,Inmaculada Concepción,Miércoles
1993,25 de diciembre,Navidad,Sábado
1994,1 de enero,Año Nuevo,Sábado
1994,10 de enero,Epifanía,Lunes
1994,21 de marzo,Día de San José,Lunes
1994,31 de marzo,Jueves Santo,Jueves
1994,1 de abril,Viernes Santo,Viernes
1994,1 de mayo,Día del trabajo,Domingo
1994,16 de mayo,Ascensión de Jesús,Lunes
1994,6 de junio,Corpus Christi,Lunes
1994,13 de junio,Sagrado Corazón de Jesús,Lunes
1994,4 de julio,San Pedro y San Pablo,Lunes
1994,20 de julio,Día de la independencia,Miércoles
1994,7 de agosto,Batalla de Boyacá,Domingo
1994,15 de agosto,Asunción de la Virgen,Lunes
1994,17 de octubre,Día de la raza,Lunes
1994,7 de noviembre,Todos los Santos,Lunes
1994,14 de noviembre,Independencia de Cartagena,Lunes
1994,8 de diciembre,Inmaculada Concepción,Jueves
1994,25 de diciembre,Navidad,Domingo
1995,1 de enero,Año Nuevo,Domingo
1995,9 de enero,Epifanía,Lunes
1995,20 de marzo,Día de San José,Lunes
1995,13 de abril,Jueves Santo,Jueves
1995,14 de abril,Viernes Santo,Viernes
1995,1 de mayo,Día del trabajo,Lunes
1995,29 de mayo,Ascensión de Jesús,Lunes
1995,19 de junio,Corpus Christi,Lunes
1995,26 de junio,Sagrado Corazón de Jesús,Lunes
1995,3 de julio,San Pedro y San Pablo,Lunes
1995,20 de julio,Día de la independencia,Jueves
1995,7 de agosto,Batalla de Boyacá,Lunes
1995,21 de agosto,Asunción de la Virgen,Lunes
1995,16 de octubre,Día de la raza,Lunes
1995,6 de noviembre,Todos los Santos,Lunes
1995,13 de noviembre,Independencia de Cartagena,Lunes
1995,8 de diciembre,Inmaculada Concepción,Viernes
1995,25 de diciembre,Navidad,Lunes
1996,1 de enero,Año Nuevo,Lunes
1996,8 de enero,Epifanía,Lunes
1996,25 de marzo,Día de San José,Lunes
1996,4 de abril,Jueves Santo,Jueves
1996,5 de abril,Viernes Santo,Viernes
1996,1 de mayo,Día del trabajo,Miércoles
1996,20 de mayo,Ascensión de Jesús,Lunes
1996,10 de junio,Corpus Christi,Lunes
1996,17 de junio,Sagrado Corazón de Jesús,Lunes
1996,1 de julio,San Pedro y San Pablo,Lunes
1996,20 de julio,Día de la independencia,Sábado
1996,7 de agosto,Batalla de Boyacá,Miércoles
1996,19 de agosto,Asunción de la Virgen,Lunes
1996,14 de octubre,Día de la raza,Lunes
1996,4 de noviembre,Todos los Santos,Lunes
1996,11 de noviembre,Independencia de Cartagena,Lunes
1996,8 de diciembre,Inmaculada Concepción,Domingo
1996,25 de diciembre,Navidad,Miércoles
1997,1 de enero,Año Nuevo,Miércoles
1997,6 de enero,Epifanía,Lunes
1997,24 de marzo,Día de San José,Lunes
1997,27 de marzo,Jueves Santo,Jueves
1997,28 de marzo,Viernes Santo,Viernes
1997,1 de mayo,Día del trabajo,Jueves
1997,12 de mayo,Ascensión de Jesús,Lunes
1997,2 de junio,Corpus Christi,Lunes
1997,9 de junio,Sagrado Corazón de Jesús,Lunes
1997,30 de junio,San Pedro y San Pablo,Lunes
1997,20 de julio,Día de la independencia,Domingo
1997,7 de agosto,Batalla de Boyacá,Jueves
1997,18 de agosto,Asunción de la Virgen,Lunes
1997,13 de octubre,Día de la raza,Lunes
1997,3 de noviembre,Todos los Santos,Lunes
1997,17 de noviembre,Independencia de Cartagena,Lunes
1997,8 de diciembre,Inmaculada Concepción,Lunes
1997,25 de diciembre,Navidad,Jueves
1998,1 de enero,Año Nuevo,Jueves
1998,12 de enero,Epifanía,Lunes
