Año,Fecha,Festivo,Día
2016,4 de julio,San Pedro y San Pablo,Lunes
2016,20 de julio,Día de la independencia,Miércoles
2016,7 de agosto,Batalla de Boyacá,Domingo
2016,15 de agosto,Asunción de la Virgen,Lunes
2016,17 de octubre,Día de la raza,Lunes
2016,7 de noviembre,Todos los Santos,Lunes
2016,14 de noviembre,Independencia de Cartagena,Lunes
2016,8 de diciembre,Inmaculada Concepción,Jueves
2016,25 de diciembre,Navidad,Domingo
2017,1 de enero,Año Nuevo,Domingo
2017,9 de enero,Epifanía,Lunes
2017,20 de marzo,Día de San José,Lunes
2017,13 de abril,Jueves Santo,Jueves
2017,14 de abril,Viernes Santo,Viernes
2017,1 de mayo,Día del trabajo,Lunes
2017,29 de mayo,Ascensión de Jesús,Lunes
2017,19 de junio,Corpus Christi,Lunes
2017,26 de junio,Sagrado Corazón de Jesús,Lunes
2017,3 de julio,San Pedro y San Pablo,Lunes
2017,20 de julio,Día de la independencia,Jueves
2017,7 de agosto,Batalla de Boyacá,Lunes
2017,21 de agosto,Asunción de la Virgen,Lunes
2017,16 de octubre,Día de la raza,Lunes
2017,6 de noviembre,Todos los Santos,Lunes
2017,13 de noviembre,Independencia de Cartagena,Lunes
2017,8 de diciembre,Inmaculada Concepción,Viernes
2017,25 de diciembre,Navidad,Lunes
2018,1 de enero,Año Nuevo,Lunes
2018,8 de enero,Epifanía,Lunes
2018,19 de marzo,Día de San José,Lunes
2018,29 de marzo,Jueves Santo,Jueves
2018,30 de marzo,Viernes Santo,Viernes
2018,1 de mayo,Día del trabajo,Martes
2018,14 de mayo,Ascensión de Jesús,Lunes
2018,4 de junio,Corpus Christi,Lunes
2018,11 de junio,Sagrado Corazón de Jesús,Lunes
2018,2 de julio,San Pedro y San Pablo,Lunes
2018,20 de julio,Día de la independencia,Viernes
2018,7 de agosto,Batalla de Boyacá,Martes
2018,20 de agosto,Asunción de la Virgen,Lunes
2018,15 de octubre,Día de la raza,Lunes
2018,5 de noviembre,Todos los Santos,Lunes
2018,12 de noviembre,Independencia de Cartagena,Lunes
2018,8 de diciembre,Inmaculada Concepción,Sábado
2018,25 de diciembre,Navidad,Martes
2019,1 de enero,Año Nuevo,Martes
2019,7 de enero,Epifanía,Lunes
2019,25 de marzo,Día de San José,Lunes
2019,18 de abril,Jueves Santo,Jueves
2019,19 de abril,Viernes Santo,Viernes
2019,1 de mayo,Día del trabajo,Miércoles
2019,3 de junio,Ascensión de Jesús,Lunes
2019,24 de junio,Corpus Christi,Lunes
2019,1 de julio,Sagrado Corazón de Jesús,Lunes
2019,1 de julio,San Pedro y San Pablo,Lunes
2019,20 de julio,Día de la independencia,Sábado
2019,7 de agosto,Batalla de Boyacá,Miércoles
2019,19 de agosto,Asunción de la Virgen,Lunes
2019,14 de octubre,Día de la raza,Lunes
2019,4 de noviembre,Todos los Santos,Lunes
2019,11 de noviembre,Independencia de Cartagena,Lunes
2019,8 de diciembre,Inmaculada Concepción,Domingo
2019,25 de diciembre,Navidad,Miércoles
2020,1 de enero,Año Nuevo,Miércoles
2020,6 de enero,Epifanía,Lunes
2020,23 de marzo,Día de San José,Lunes
2020,9 de abril,Jueves Santo,Jueves
2020,10 de abril,Viernes Santo,Viernes
2020,1 de mayo,Día del trabajo,Viernes
2020,25 de mayo,Ascensión de Jesús,Lunes
2020,15 de junio,Corpus Christi,Lunes
2020,22 de junio,Sagrado Corazón de Jesús,Lunes
2020,29 de junio,San Pedro y San Pablo,Lunes
2020,20 de julio,Día de la independencia,Lunes
2020,7 de agosto,Batalla de Boyacá,Viernes
2020,17 de agosto,Asunción de la Virgen,Lunes
2020,12 de octubre,Día de la raza,Lunes
2020,2 de noviembre,Todos los Santos,Lunes
2020,16 de noviembre,Independencia de Cartagena,Lunes
2020,8 de diciembre,Inmaculada Concepción,Martes
2020,25 de diciembre,Navidad,Viernes
2021,1 de enero,Año Nuevo,Viernes
2021,11 de enero,Epifanía,Lunes
2021,22 de marzo,Día de San José,Lunes
2021,1 de abril,Jueves Santo,Jueves
2021,2 de abril,Viernes Santo,Viernes
2021,1 de mayo,Día del trabajo,Sábado
2021,17 de mayo,Ascensión de Jesús,Lunes
2021,7 de junio,Corpus Christi,Lunes
2021,14 de junio,Sagrado Corazón de Jesús,Lunes
2021,5 de julio,San Pedro y San Pablo,Lunes
2021,20 de julio,Día de la independencia,Martes
2021,7 de agosto,Batalla de Boyacá,Sábado
2021,16 de agosto,Asunción de la Virgen,Lunes
2021,18 de octubre,Día de la raza,Lunes
2021,1 de noviembre,Todos los Santos,Lunes
2021,15 de noviembre,Independencia de Cartagena,Lunes
2021,8 de diciembre,Inmaculada Concepción,Miércoles
2021,25 de diciembre,Navidad,Sábado
2022,1 de enero,Año Nuevo,Sábado
2022,10 de enero,Epifanía,Lunes
2022,21 de marzo,Día de San José,Lunes
2022,14 de abril,Jueves Santo,Jueves
2022,15 de abril,Viernes Santo,Viernes
2022,1 de mayo,Día del trabajo,Domingo
2022,30 de mayo,Ascensión de Jesús,Lunes
2022,20 de junio,Corpus Christi,Lunes
2022,27 de junio,Sagrado Corazón de Jesús,Lunes
2022,4 de julio,San Pedro y San Pablo,Lunes
2022,20 de julio,Día de la independencia,Miércoles
2022,7 de agosto,Batalla de Boyacá,Domingo
2022,15 de agosto,Asunción de la Virgen,Lunes
2022,17 de octubre,Día de la raza,Lunes
2022,7 de noviembre,Todos los Santos,Lunes
2022,14 de noviembre,Independencia de Cartagena,Lunes
2022,8 de diciembre,Inmaculada Concepción,Jueves
2022,25 de diciembre,Navidad,Domingo
2023,1 de enero,Año Nuevo,Domingo
2023,9 de enero,Epifanía,Lunes
2023,20 de marzo,Día de San José,Lunes
2023,6 de abril,Jueves Santo,Jueves
2023,7 de abril,Viernes Santo,Viernes
2023,1 de mayo,Día del trabajo,Lunes
2023,22 de mayo,Ascensión de Jesús,Lunes
2023,12 de junio,Corpus Christi,Lunes
2023,19 de junio,Sagrado Corazón de Jesús,Lunes
2023,3 de julio,San Pedro y San Pablo,Lunes
2023,20 de julio,Día de la independencia,Jueves
2023,7 de agosto,Batalla de Boyacá,Lunes
2023,21 de agosto,Asunción de la Virgen,Lunes
2023,16 de octubre,Día de la raza,Lunes
2023,6 de noviembre,Todos los Santos,Lunes
2023,13 de noviembre,Independencia de Cartagena,Lunes
2023,8 de diciembre,Inmaculada Concepción,Viernes
2023,25 de diciembre,Navidad,Lunes
2024,1 de enero,Año Nuevo,Lunes
2024,8 de enero,Epifanía,Lunes
2024,25 de marzo,Día de San José,Lunes
2024,28 de marzo,Jueves Santo,Jueves
2024,29 de marzo,Viernes Santo,Viernes
2024,1 de mayo,Día del trabajo,Miércoles
2024,13 de mayo,Ascensión de Jesús,Lunes
2024,3 de junio,Corpus Christi,Lunes
2024,10 de junio,Sagrado Corazón de Jesús,Lunes
2024,1 de julio,San Pedro y San Pablo,Lunes
2024,20 de julio,Día de la independencia,Sábado
2024,7 de agosto,Batalla de Boyacá,Miércoles
2024,19 de agosto,Asunción de la Virgen,Lunes
2024,14 de octubre,Día de la raza,Lunes
2024,4 de noviembre,Todos los Santos,Lunes
2024,11 de noviembre,Independencia de Cartagena,Lunes
2024,8 de diciembre,Inmaculada Concepción,Domingo
2024,25 de diciembre,Navidad,Miércoles
